20 Hz,35 Hz,50 Hz,70 Hz,95 Hz
148.2,70.0,83.8,82.7,19.6
70.1,62.7,69.9,60.8,31.9
106.9,94.3,50.0,31.5,32.0
56.3,65.4,87.0,58.7,30.5
78.7,83.8,60.2,99.4,17.2
104.1,112.4,112.7,47.6,26.8
109.1,71.2,73.1,41.9,22.7
98.6,69.5,86.4,50.6,27.7
112.0,89.8,51.2,37.2,20.5
99.0,143.9,57.5,75.2,27.4
89.0,44.3,79.1,47.5,21.5
141.9,91.3,94.0,39.4,27.6
41.2,69.5,87.9,67.6,19.5
210.6,65.8,99.8,47.2,18.4
149.1,74.6,54.4,87.7,21.7
192.8,73.8,73.0,53.8,20.9
178.5,130.3,84.1,55.5,18.0
86.3,85.9,85.0,48.2,32.7
155.3,150.9,53.3,45.5,28.0
113.8,82.9,52.4,75.1,18.3
94.5,81.5,68.1,32.8,30.5
109.4,82.4,74.4,56.1,20.0
178.1,102.4,65.9,83.7,26.3
122.9,83.4,79.7,38.4,34.3
128.1,95.8,52.7,36.6,27.4
125.7,37.7,73.7,71.1,57.6
93.8,101.6,98.6,58.7,29.0
88.6,43.9,91.0,73.9,28.5
105.6,78.4,38.5,69.1,12.7
142.7,69.3,59.6,34.5,23.4
67.7,100.9,55.4,86.5,14.5
88.7,82.7,56.0,52.4,20.2
146.9,104.6,61.5,48.5,43.4
89.4,98.7,76.6,53.8,15.8
87.6,89.7,72.7,31.9,28.2
65.0,83.5,32.6,59.7,17.7
117.0,89.5,75.7,46.2,15.9
101.7,107.8,73.4,66.7,34.9
125.6,68.5,87.9,53.8,19.2
107.4,64.8,82.7,53.5,16.9
100.7,88.2,112.4,72.7,15.1
129.5,116.2,65.2,69.3,20.8
72.6,81.2,82.0,61.5,17.9
82.8,80.5,67.6,84.8,31.2
119.1,87.3,73.0,59.3,19.2
161.0,121.1,66.0,59.9,19.8
111.7,100.1,101.2,55.2,22.5
77.4,68.9,64.6,28.8,28.7
60.0,87.8,84.6,41.8,24.8
126.1,97.7,65.6,66.7,18.6
91.3,67.2,47.5,60.5,33.1
51.1,77.5,82.7,26.7,16.0
